"st","zcta"
"53","98188"
"53","98188"
"53","98198"
"53","98198"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98198"
"53","98188"
"53","98188"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98166"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98188"
"53","98198"
"53","98188"
"53","98198"
"53","98198"
"53","98070"
"53","98070"
"53","98070"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98166"
"53","98198"
"53","98166"
"53","98166"
"53","98166"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98188"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98166"
"53","98198"
"53","98188"
"53","98198"
"53","98188"
"53","98188"
"53","98198"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98148"
"53","98148"
"53","98148"
"53","98188"
"53","98148"
"53","98148"
"53","98188"
"53","98188"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98166"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98148"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98148"
"53","98148"
"53","98148"
"53","98166"
"53","98166"
"53","98166"
"53","98166"
"53","98198"
"53","98166"
"53","98166"
"53","98198"
"53","98198"
"53","98166"
"53","98198"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98198"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98148"
"53","98198"
"53","98148"
"53","98198"
"53","98148"
"53","98198"
"53","98148"
"53","98148"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98148"
"53","98148"
"53","98198"
"53","98148"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98148"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98188"
"53","98198"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98148"
"53","98188"
"53","98148"
"53","98188"
"53","98188"
"53","98148"
"53","98148"
"53","98198"
"53","98188"
"53","98148"
"53","98188"
"53","98188"
"53","98188"
"53","98148"
"53","98148"
"53","98188"
"53","98148"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98188"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98188"
"53","98188"
"53","98188"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98055"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98055"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98055"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98055"
